State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,sex_ratio,literacy_rate
Bihar,Saharsa,25.821270696721307,86.54670819672134,214,1900661,997174,903487,804996,1668,19415,432651,38046,470697,348300,194897,104182,90182,64560,47051,6016,855188,1151349,90.60474902073258,42.35347597493714
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,5379,50918,1012979,43486,1056465,781038,710468,438908,284082,186153,129933,19126,2549708,1996651,91.10135726274807,50.28386278659066
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,4509,37442,701323,76299,777622,793945,693465,433759,361171,213251,148065,9848,2653504,1313700,95.36390021657873,54.59335371528662
Bihar,Sheikhpura,25.12472436548223,85.77839390862944,228,636342,329743,306599,328676,631,8873,108293,24345,132638,129673,110525,59529,52860,33856,19676,3399,409518,305609,92.98120051070076,51.65084184290837
Bihar,Sheohar,26.45838074866311,85.29539411764709,205,656246,346673,309573,283698,478,6698,158484,7516,166000,128209,91277,37063,25657,16031,10091,661,308989,348078,89.29827243540743,43.23043492836528
Bihar,Sitamarhi,26.565700696864127,85.61172491289203,206,3423574,1803252,1620322,1436794,3460,42461,807294,49670,856964,733380,394422,196321,136500,92783,70549,11936,1635891,1852765,89.85554986213796,41.96766303284229
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,3834,37833,632514,41858,674372,689880,612635,445257,355277,186817,119164,12091,2421121,1207119,98.82298861553707,57.95513778260326
Bihar,Supaul,26.281578937728963,86.78496465201462,208,2229076,1155283,1073793,1033283,1845,25078,572287,27815,600102,467768,269737,157787,99530,69665,45726,5850,1116063,1220268,92.94631704958871,46.35476762568885
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,4810,39564,699317,51494,750811,810191,487594,370247,291392,178320,124448,9094,2271286,1479152,89.47978758874187,55.12813799974307
Chandigarh,Chandigarh,30.7426,76.75872465753423,55,1055450,580663,474787,805438,44283,78113,8911,289456,298367,80406,118667,114209,124707,98786,174528,20188,731491,184265,81.76636017793454,76.31228385996495
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,1782,9042,316425,54894,371319,183667,178766,139330,60936,57413,32895,3227,656234,729550,102.32287787746945,46.05600485140451
Chhattisgarh,Bilaspur,22.356942982456147,81.99770350877188,30,381956,192764,189192,287620,1574,6281,152458,11987,164445,35817,59489,53515,64730,45695,25474,3241,287961,65864,98.14695690066611,75.3018672307805
Chhattisgarh,Bilaspur,22.356942982456147,81.99770350877188,406,2663629,1351574,1312055,1596560,8566,30892,549632,188174,737806,382091,407692,337793,189296,152838,134637,19654,1624001,943112,97.07607574576012,59.939278330428145
Himachal Pradesh,Bilaspur,31.378042290748898,76.65316079295157,30,381956,192764,189192,287620,1574,6281,152458,11987,164445,35817,59489,53515,64730,45695,25474,3241,287961,65864,98.14695690066611,75.3018672307805
Himachal Pradesh,Bilaspur,31.378042290748898,76.65316079295157,406,2663629,1351574,1312055,1596560,8566,30892,549632,188174,737806,382091,407692,337793,189296,152838,134637,19654,1624001,943112,97.07607574576012,59.939278330428145
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,1016,4804,168689,41792,210481,143128,148544,120146,65196,58875,31319,5096,572304,214637,101.00201811021445,68.37284206551544
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,16141,51289,533448,349741,883189,463598,573291,497668,309508,286244,202424,30555,2363288,823501,98.79139243125115,68.88355774383709
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,567,5755,205670,20722,226392,120768,137681,127299,64188,50562,26161,3166,529825,328438,100.51206953786607,58.16989933882765
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,4544,18004,206598,126055,332653,178191,188303,168387,89167,83166,61215,11792,780221,410186,96.86906014700244,62.05322217065571
Chhattisgarh,Koriya,23.50412776859501,82.12515636363634,400,658917,334737,324180,397823,1667,7609,121852,59763,181615,143413,109639,87969,47127,38677,26802,4134,457761,179639,96.84618073293362,60.375282471085136
Chhattisgarh,Mahasamund,21.22372703777336,82.65925427435384,411,1032754,511967,520787,637963,961,5614,274793,35774,310567,179770,194739,152183,78583,57949,33357,5951,702532,384764,101.72276728773535,61.772987565286606
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,3342,13857,354278,66638,420916,246480,260661,210964,130700,93340,66358,8804,1017307,460166,99.1240580158288,63.6980717330306
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,38570,96301,581868,377160,959028,231263,407662,335886,441072,221410,204507,19940,1861740,482420,95.94672498502989,73.64642016551515
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,20261,59523,673499,395001,1068500,618508,664470,552373,313247,267265,227382,31483,2674728,1247434,98.41323004844287,64.71042887177549
Chhattisgarh,Surguja,23.327192787286076,83.23582493887531,401,2359886,1193129,1166757,1187941,2737,18983,525596,65167,590763,364452,338509,281260,135374,105992,64607,9524,1299718,991866,97.78967739448123,50.33891467638691
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,23440,56266,115859,209230,325089,40968,101521,148792,153887,87513,86781,16601,636063,99538,96.31705133712684,81.05788696443066
Goa,South Goa,15.195278658183785,73.94179259687701,586,640537,322463,318074,502427,17624,44299,88620,162873,251493,29874,73039,119869,108989,64786,57460,9579,463596,88577,98.63891361179422,78.43840402662141
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,2538,12765,313714,116899,430613,230474,412251,120625,149478,66785,50999,8582,1039194,380595,96.38051537580621,65.74201388200952
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,9902,32523,413078,208909,621987,257524,560542,229013,283571,127459,110351,20487,1588947,360506,92.485173248567,74.12527565470232
Gujarat,Banas Kantha,24.25853896551725,71.93205252873561,469,3120506,1610379,1510127,1704923,3424,23149,666773,137424,804197,366867,859436,159433,226765,105372,66950,14451,1799274,1207376,93.77463317641374,54.63610709288814
